customer_id,first_name,last_name,gender,date_of_birth,province,city,customer_since
C00413,Susan,Steyn,M,1962-04-30,KwaZulu-Natal,Pietermaritzburg,2024-03-05
C00198,Vusi,Botha,M,1986-12-21,Western Cape,Stellenbosch,2020-02-11
C00228,Ayesha,Mbeki,M,1957-11-06,Western Cape,Paarl,2024-05-19
C00348,Ruth,Nkosi,F,1994-02-09,Gauteng,Centurion,2018-01-11
C00044,Elna,Van der Merwe,M,1968-05-04,Gauteng,Johannesburg,2021-11-01
C00477,Tumi,Naidoo,F,1999-12-24,Western Cape,Paarl,2021-05-16
C00498,Nomvula,Botha,F,1972-09-04,Gauteng,Johannesburg,2022-07-04
C00439,Thabo,Smit,M,1969-01-13,Western Cape,Paarl,2019-11-17
C00292,Zanele,Van der Merwe,M,1958-03-18,Western Cape,,2020-04-06
C00312,Mandla,Dlamini,M,1962-12-22,Free State,Welkom,2026-07-16
C00092,Zanele,Mokoena,F,1982-03-16,KwaZulu-Natal,Durban,2025-03-20
C00229,Johan,Coetzee,F,2000-08-22,Western Cape,Cape Town,2025-03-31
C00224,Michael,Zulu,F,1979-01-08,KwaZulu-Natal,Durban,2024-03-16
C00403,Werner,Mahlangu,M,1962-07-04,Western Cape,George,2025-11-29
C00195,Elna,Coetzee,F,1978-05-22,Western Cape,Cape Town,2022-01-25
C00048,Tumi,Mahlangu,M,1990-04-03,Western Cape,Paarl,2020-08-25
C00344,Mandla,Sithole,M,1998-01-15,Western Cape,George,2021-07-18
C00362,Susan,Mahlangu,M,1957-03-19,KwaZulu-Natal,Richards Bay,2018-10-09
C00480,Precious,Sithole,M,1987-02-24,Western Cape,Cape Town,2020-02-29
C00281,Kagiso,Coetzee,F,1969-09-07,Gauteng,Centurion,2020-10-07
C00025,Kagiso,Fourie,M,1987-01-25,Eastern Cape,Gqeberha,2022-01-16
C00165,Naledi,Botha,M,1961-09-09,Eastern Cape,East London,2023-07-31
C00397,Tumi,Coetzee,M,1957-08-26,KwaZulu-Natal,Durban,2024-06-11
C00231,Naledi,Mahlangu,F,1976-02-11,KwaZulu-Natal,Durban,2025-10-21
C00099,Emma,Sithole,F,1991-12-01,Limpopo,Polokwane,2023-03-06
C00480,Precious,Sithole,M,1987-02-24,Western Cape,Cape Town,2020-02-29
C00261,Werner,Coetzee,M,1989-04-17,Western Cape,Paarl,2025-09-07
C00120,Werner,Smit,M,1994-04-20,Free State,Bloemfontein,2023-05-22
C00360,Aisha,Khumalo,M,1964-11-25,Gauteng,Sandton,2022-02-09
C00311,Karen,Molefe,F,1981-02-17,Limpopo,,2023-04-25
C00376,Pieter,Coetzee,F,1960-11-29,Mpumalanga,Witbank,2024-03-27
C00132,Zanele,Steyn,F,1981-02-07,KwaZulu-Natal,Durban,2018-08-16
C00117,Zanele,Sithole,F,1960-03-25,Limpopo,Polokwane,2018-06-12
C00164,Emma,Mbeki,M,1996-01-04,Gauteng,Soweto,2023-09-18
C00258,Karen,Mokoena,M,1957-05-26,Gauteng,Soweto,2018-11-16
C00176,Chris,Khumalo,M,1979-09-22,Free State,,2022-09-15
C00140,Susan,Coetzee,F,1967-06-02,KwaZulu-Natal,Richards Bay,2018-06-07
C00073,Aisha,Naidoo,F,1965-12-12,Mpumalanga,Witbank,2025-09-01
C00385,Bongani,Sithole,F,1995-06-14,KwaZulu-Natal,,2021-09-23
C00184,Tumi,Le Roux,M,1977-06-21,Free State,,2020-03-08
C00254,Mandla,Fourie,F,1956-10-23,Western Cape,Paarl,2026-03-07
C00448,Mandla,Kruger,M,1993-09-30,Gauteng,Soweto,2022-02-01
C00296,Precious,Le Roux,F,1969-10-20,Western Cape,George,2019-12-24
C00487,David,Mokoena,F,1962-12-18,KwaZulu-Natal,Richards Bay,2020-09-13
C00373,Kagiso,Zulu,M,1996-07-19,Western Cape,Paarl,2021-03-09
C00101,David,Coetzee,F,2002-03-03,Eastern Cape,East London,2025-06-11
C00215,Werner,Coetzee,F,1992-01-27,Gauteng,Centurion,2022-07-04
C00226,Vusi,Khumalo,M,1996-05-03,KwaZulu-Natal,Pietermaritzburg,2022-10-10
C00386,Sanele,Zulu,M,1961-06-16,Gauteng,Johannesburg,2019-07-26
C00061,Thabo,Botha,M,1955-06-27,Limpopo,Tzaneen,2025-09-09
C00191,Werner,Coetzee,M,1985-02-13,Western Cape,Cape Town,2021-09-03
C00007,Thabo,Kruger,M,1959-07-08,Gauteng,Centurion,2022-10-05
C00351,Karen,Mokoena,M,1985-10-23,Mpumalanga,Witbank,2021-05-21
C00332,Bongani,Mahlangu,F,1966-05-02,Mpumalanga,Witbank,2025-03-14
C00302,Sipho,Mbeki,M,1966-11-18,Western Cape,Stellenbosch,2025-05-29
C00089,Kabelo,Botha,M,1961-06-24,Western Cape,George,2022-03-12
C00068,Zanele,Ndlovu,M,1994-08-10,Western Cape,Stellenbosch,2019-09-28
C00297,Fatima,Pretorius,F,1969-03-18,Gauteng,Sandton,2018-12-18
C00300,Precious,Dlamini,M,1976-02-19,Free State,Welkom,2022-01-04
C00334,Ruth,Mbeki,M,1974-05-31,Eastern Cape,Mthatha,2022-07-28
C00415,Thabo,Mbeki,M,1974-09-25,Eastern Cape,East London,2020-12-08
C00335,Thabo,Mahlangu,M,1968-02-12,KwaZulu-Natal,Richards Bay,2024-07-04
C00324,Naledi,Pretorius,M,1963-06-23,KwaZulu-Natal,Durban,2019-01-16
C00002,Pieter,Khumalo,F,1997-01-27,Eastern Cape,Gqeberha,2019-09-24
C00327,Susan,Steyn,F,1959-06-19,Mpumalanga,Witbank,2025-07-22
C00062,Anke,Steyn,F,1961-11-15,KwaZulu-Natal,Pietermaritzburg,2020-09-16
C00011,Susan,Coetzee,F,1972-10-31,Gauteng,Pretoria,2022-01-02
C00082,Ayesha,Le Roux,F,1979-07-16,Gauteng,Centurion,2026-01-07
C00209,Pieter,Mahlangu,M,1975-05-07,Limpopo,Tzaneen,2021-03-12
C00175,Fatima,Sithole,M,1960-07-28,Gauteng,Sandton,2019-01-27
C00109,Sanele,Pretorius,M,1964-07-18,Gauteng,Johannesburg,2019-07-02
C00243,Werner,Mahlangu,F,1977-07-30,Free State,Bloemfontein,2025-06-09
C00103,Lerato,Steyn,M,1996-03-15,Free State,Bloemfontein,2025-01-03
C00051,Elna,Zulu,M,1964-03-22,KwaZulu-Natal,Pietermaritzburg,2020-10-30
C00368,Vusi,Ndlovu,M,1961-10-02,Western Cape,George,2019-11-28
C00035,Lerato,Mbeki,M,1992-10-22,Gauteng,Johannesburg,2024-03-13
C00079,Johan,Ndlovu,M,1972-12-29,Gauteng,Soweto,2023-02-22
C00173,Mandla,Botha,M,1960-11-21,Mpumalanga,Witbank,2024-08-16
C00492,Nomvula,Zulu,F,1978-05-01,North West,Rustenburg,2022-01-27
C00309,David,Mbeki,F,1959-05-10,Gauteng,Sandton,2022-11-19
C00355,Thabo,Smit,M,1972-10-09,Western Cape,Cape Town,2021-05-20
C00379,Naledi,Khumalo,F,1998-01-27,Gauteng,Sandton,2024-02-04
C00473,Sipho,Coetzee,M,2002-02-17,Free State,Bloemfontein,2019-01-08
C00112,Ayesha,Smit,M,1979-09-22,Mpumalanga,Nelspruit,2024-10-20
C00237,Kagiso,Naidoo,F,1988-11-06,Mpumalanga,Nelspruit,2021-11-05
C00036,Lerato,Le Roux,M,1977-08-19,Gauteng,Soweto,2025-09-23
C00382,Thabo,Khumalo,M,1966-12-30,Gauteng,Sandton,2018-04-25
C00212,Michael,Khumalo,F,2003-10-12,Free State,Bloemfontein,2021-08-23
C00069,Lerato,Kruger,M,1985-06-22,Western Cape,Paarl,2022-06-03
C00147,Lerato,Naidoo,F,2000-02-29,Western Cape,George,2024-08-23
C00488,Bongani,Coetzee,F,1982-08-23,Eastern Cape,Mthatha,2025-03-30
C00371,Ayesha,Le Roux,F,1977-04-06,Gauteng,Centurion,2019-05-18
C00342,Sanele,Pretorius,F,1997-02-03,Mpumalanga,Nelspruit,2020-02-03
C00494,Aisha,Zulu,F,1964-07-30,Eastern Cape,Mthatha,2018-03-26
C00143,Naledi,Fourie,M,1990-08-30,KwaZulu-Natal,Richards Bay,2024-07-22
C00027,Vusi,Dlamini,M,1959-06-09,KwaZulu-Natal,Richards Bay,2022-10-19
C00174,Tumi,Steyn,F,1989-03-17,Limpopo,Tzaneen,2021-10-31
C00429,Vusi,Le Roux,F,2002-02-28,Mpumalanga,Witbank,2023-03-28
C00168,Michael,Mbeki,M,1993-01-23,Gauteng,Johannesburg,2018-02-15
C00319,Kabelo,Mbeki,M,1973-10-13,Western Cape,George,2018-03-01
C00100,Michael,Mahlangu,F,1975-03-21,Western Cape,Cape Town,2025-12-13
C00308,Sanele,Mbeki,M,1956-07-13,Gauteng,Soweto,2024-01-23
C00405,Mandla,Kruger,F,1987-04-04,Eastern Cape,East London,2023-02-23
C00275,Karen,Le Roux,M,1977-01-13,Western Cape,Paarl,2021-08-10
C00253,Kagiso,Kruger,F,1976-10-12,Mpumalanga,Nelspruit,2025-01-21
C00442,Vusi,Steyn,F,1994-01-29,Limpopo,Tzaneen,2020-01-05
C00071,Mandla,Fourie,M,1969-08-22,Gauteng,Sandton,2021-09-25
C00303,Johan,Naidoo,F,1991-06-16,Gauteng,Soweto,2020-11-02
C00277,David,Naidoo,F,1971-12-28,Western Cape,Cape Town,2025-09-12
C00387,Sanele,Kruger,F,1995-11-19,KwaZulu-Natal,Richards Bay,2026-03-07
C00419,Karen,Molefe,F,1994-06-13,Western Cape,Stellenbosch,2019-09-12
C00081,Chris,Khumalo,F,1970-09-13,Free State,Bloemfontein,2026-05-04
C00441,Karen,Dlamini,F,1956-12-02,Gauteng,Pretoria,2020-11-19
C00444,Naledi,Steyn,F,1974-02-11,Northern Cape,Kimberley,2020-06-16
C00153,Kabelo,Naidoo,F,2001-07-04,KwaZulu-Natal,,2026-01-12
C00418,Bongani,Fourie,F,1987-02-14,Eastern Cape,Gqeberha,2020-08-13
C00127,Bongani,Ndlovu,F,1976-04-05,Western Cape,George,2021-04-04
C00262,Zanele,Zulu,M,1987-11-29,Gauteng,Centurion,2021-07-24
C00057,Lerato,Khumalo,F,1987-11-20,KwaZulu-Natal,Richards Bay,2022-03-18
C00038,Zanele,Khumalo,F,1976-11-11,Western Cape,Stellenbosch,2020-01-19
C00067,Mandla,Le Roux,F,1970-03-10,Western Cape,Stellenbosch,2025-02-13
C00428,Ruth,Pretorius,F,1988-08-02,Gauteng,Soweto,2022-08-17
C00013,Elna,Zulu,F,1972-12-19,Free State,Bloemfontein,2026-04-21
C00098,Lerato,Sithole,M,1966-05-26,KwaZulu-Natal,Pietermaritzburg,2024-07-25
C00131,Themba,Kruger,M,1964-11-30,Eastern Cape,Gqeberha,2024-11-25
C00478,Themba,Ndlovu,M,1997-11-18,Northern Cape,Kimberley,2026-03-15
C00346,Zanele,Zulu,F,1993-05-14,KwaZulu-Natal,Pietermaritzburg,2021-10-24
C00085,Mandla,Coetzee,F,1992-07-18,Eastern Cape,Gqeberha,2022-12-27
C00393,Emma,Steyn,M,1961-12-26,Northern Cape,Upington,2025-01-08
C00150,Sanele,Pretorius,F,1972-11-05,Western Cape,Stellenbosch,2020-09-07
C00102,Mandla,Le Roux,F,1977-03-29,Gauteng,Centurion,2020-04-22
C00445,Aisha,Botha,F,1956-04-17,Gauteng,Sandton,2021-08-18
C00457,Michael,Mahlangu,M,1970-11-12,Western Cape,Cape Town,2024-10-03
C00443,Aisha,Khumalo,F,1984-08-22,Free State,Welkom,2018-12-29
C00452,Naledi,Fourie,M,1988-08-15,Eastern Cape,East London,2018-01-04
C00189,Thabo,Van der Merwe,F,1999-10-10,Western Cape,Stellenbosch,2022-01-26
C00077,Johan,Van der Merwe,F,2001-06-10,North West,Rustenburg,2020-01-26
C00315,Nomvula,Mokoena,F,1990-12-22,Western Cape,Cape Town,2024-12-23
C00148,Kagiso,Kruger,M,1987-11-22,Western Cape,Cape Town,2024-05-02
C00331,Anke,Coetzee,F,1957-07-18,Gauteng,Johannesburg,2023-02-10
C00389,Naledi,Smit,F,1997-11-04,Gauteng,Centurion,2018-04-05
C00239,Pieter,Molefe,M,1963-05-06,Gauteng,Johannesburg,2024-01-13
C00114,Mandla,Mbeki,M,1966-08-08,Gauteng,Sandton,2023-07-07
C00310,Bongani,Botha,F,1983-12-03,Limpopo,Polokwane,2022-03-29
C00369,Ruth,Nkosi,M,1995-01-04,Gauteng,Soweto,2025-04-04
C00053,Werner,Nkosi,M,1969-09-13,Gauteng,Pretoria,2025-12-09
C00028,Karen,Pretorius,F,1969-11-23,Gauteng,Centurion,2020-12-25
C00430,Themba,Zulu,M,1976-10-02,North West,Potchefstroom,2025-04-09
C00065,Ruth,Dlamini,M,1985-02-12,Gauteng,Sandton,2025-11-10
C00110,Bongani,Dlamini,M,1957-08-13,KwaZulu-Natal,Durban,2022-06-06
C00156,Pieter,Molefe,M,2001-08-11,Gauteng,Sandton,2020-04-29
C00464,Ayesha,Molefe,M,1955-01-10,Western Cape,,2025-04-20
C00111,Michael,Botha,M,1995-08-02,Western Cape,Stellenbosch,2020-09-23
C00039,Themba,Kruger,M,1984-10-02,KwaZulu-Natal,Durban,2021-02-07
C00106,Naledi,Mbeki,M,1970-03-17,Gauteng,Johannesburg,2025-11-08
C00416,Vusi,Smit,F,1975-01-01,Western Cape,Cape Town,2020-03-21
C00232,Fatima,Molefe,F,1983-10-09,Limpopo,Tzaneen,2021-04-19
C00213,Lerato,Dlamini,M,1962-01-22,Eastern Cape,Mthatha,2024-01-20
C00432,Elna,Naidoo,F,1979-01-01,KwaZulu-Natal,Durban,2024-12-22
C00076,Ayesha,Naidoo,F,1959-08-18,Free State,Bloemfontein,2021-04-05
C00295,Sanele,Nkosi,M,1977-01-06,Eastern Cape,Gqeberha,2019-10-11
C00220,David,Sithole,F,1958-12-03,Free State,Welkom,2018-05-10
C00122,Tumi,Mahlangu,M,1981-04-08,KwaZulu-Natal,Durban,2026-04-19
C00267,Thabo,Le Roux,M,1975-10-27,Eastern Cape,East London,2024-12-05
C00280,Precious,Kruger,F,1983-12-13,Eastern Cape,East London,2018-03-20
C00070,Susan,Steyn,F,1967-07-18,North West,Rustenburg,2019-07-21
C00161,Kagiso,Ndlovu,M,1980-04-06,Western Cape,George,2025-11-18
C00380,Sanele,Botha,F,1996-09-19,Mpumalanga,Witbank,2024-05-30
C00341,Fatima,Zulu,M,1988-06-01,Gauteng,Sandton,2019-09-18
C00059,Elna,Ndlovu,M,2001-09-26,Gauteng,Centurion,2020-11-05
C00304,Chris,Coetzee,F,2000-08-04,gauteng,Johannesburg,2022-03-31
C00218,Sanele,Mbeki,F,1996-02-12,Northern Cape,Kimberley,2023-08-03
C00058,Elna,Pretorius,F,2000-12-15,KwaZulu-Natal,Pietermaritzburg,2022-08-27
C00088,Naledi,Sithole,F,1961-01-23,Mpumalanga,Nelspruit,2018-09-11
C00171,Kagiso,Coetzee,F,2002-03-14,Limpopo,Polokwane,2020-01-18
C00433,Sanele,Kruger,M,1974-09-27,Gauteng,Sandton,2025-10-31
C00481,Mandla,Botha,F,1991-07-21,KwaZulu-Natal,Pietermaritzburg,2022-09-23
C00282,Kagiso,Mokoena,F,1962-08-14,Mpumalanga,Witbank,2018-01-05
C00093,Sanele,Dlamini,F,1991-09-11,Gauteng,Pretoria,2021-08-06
C00200,Elna,Mokoena,M,1985-09-04,Western Cape,George,2026-04-03
C00107,Tumi,Ndlovu,M,1962-08-21,Gauteng,Sandton,2020-06-11
C00030,Werner,Sithole,F,1996-10-26,Gauteng,Pretoria,2025-01-19
C00301,Karen,Van der Merwe,M,1966-03-22,Gauteng,Centurion,2020-10-07
C00192,Ayesha,Molefe,F,1984-12-09,KwaZulu-Natal,Richards Bay,2026-05-03
C00265,Elna,Mokoena,M,1981-12-07,Gauteng,Pretoria,2025-08-10
C00219,Precious,Nkosi,F,1996-04-22,Western Cape,Paarl,2021-05-15
C00018,Johan,Kruger,M,1989-04-25,Western Cape,Paarl,2024-08-03
C00333,Johan,Naidoo,M,1964-01-29,KwaZulu-Natal,Durban,2022-10-01
C00003,Mandla,Kruger,M,1991-01-20,Northern Cape,Kimberley,2024-07-13
C00060,Bongani,Zulu,F,1980-07-06,Western Cape,Cape Town,2020-06-10
C00064,Johan,Dlamini,M,1987-04-25,Eastern Cape,Mthatha,2026-01-21
C00026,Mandla,Mahlangu,M,1982-09-12,Free State,Bloemfontein,2022-12-06
C00476,Ayesha,Botha,M,2003-07-13,Gauteng,Centurion,2026-06-23
C00246,David,Botha,F,2002-07-10,Northern Cape,Kimberley,2019-04-28
C00384,Precious,Mahlangu,M,1980-05-14,KwaZulu-Natal,Durban,2021-11-16
C00460,Karen,Smit,M,1994-04-09,KwaZulu-Natal,Richards Bay,2019-11-27
C00241,Sipho,Le Roux,M,2003-04-04,Western Cape,,2024-07-14
C00021,Naledi,Naidoo,M,1994-06-11,Gauteng,Johannesburg,2018-01-24
C00455,Mandla,Fourie,F,1969-07-21,Western Cape,Cape Town,2021-12-16
C00188,Pieter,Molefe,M,2001-02-02,Gauteng,Soweto,2021-12-17
C00208,Werner,Dlamini,M,1991-05-24,Gauteng,Soweto,2021-09-30
C00294,Karen,Le Roux,F,1960-06-20,Western Cape,Stellenbosch,2024-09-02
C00167,Bongani,Ndlovu,M,1977-03-19,Gauteng,Sandton,2019-03-25
C00475,Werner,Fourie,M,1957-12-30,Limpopo,Tzaneen,2021-06-02
C00242,Aisha,Mbeki,M,1999-04-07,Eastern Cape,Mthatha,2020-06-11
C00363,Ruth,Le Roux,M,1988-01-02,Eastern Cape,East London,2022-04-02
C00125,David,Pretorius,M,1963-02-03,Western Cape,George,2021-07-30
C00196,Emma,Ndlovu,M,1966-01-20,KwaZulu-Natal,Durban,2021-01-04
C00328,Michael,Mahlangu,F,1981-04-10,KwaZulu-Natal,Richards Bay,2019-07-26
C00250,Ayesha,Naidoo,M,2003-04-18,Western Cape,Cape Town,2020-10-16
C00105,Naledi,Zulu,F,1964-06-03,Gauteng,Centurion,2025-01-28
C00374,Werner,Zulu,M,1974-11-03,Free State,Welkom,2018-04-05
C00318,Johan,Naidoo,F,1970-07-26,Gauteng,Sandton,2025-05-25
C00317,David,Steyn,M,1980-04-03,Gauteng,Pretoria,2021-07-21
C00352,Lerato,Mahlangu,M,1970-08-21,KwaZulu-Natal,Durban,2022-11-26
C00313,Pieter,Pretorius,M,1967-03-06,Gauteng,Pretoria,2025-11-19
C00289,Ruth,Molefe,F,2000-10-19,KwaZulu-Natal,Durban,2021-09-18
C00037,Anke,Mokoena,F,1979-05-16,Gauteng,Sandton,2023-12-23
C00139,Emma,Mokoena,F,2000-08-21,Free State,Welkom,2026-02-12
C00320,Kabelo,Molefe,M,1963-02-09,Eastern Cape,Mthatha,2025-04-02
C00279,Mandla,Mbeki,F,2003-03-21,KwaZulu-Natal,Pietermaritzburg,2024-05-15
C00359,Ruth,Botha,F,1971-11-06,Mpumalanga,Nelspruit,2020-05-21
C00020,Ayesha,Molefe,F,1969-02-16,Eastern Cape,East London,2023-06-19
C00211,Sipho,Khumalo,F,1979-08-03,Western Cape,Cape Town,2026-03-23
C00472,Emma,Mahlangu,F,1973-01-10,Gauteng,Johannesburg,2023-05-15
C00495,Fatima,Mahlangu,F,1975-04-29,Gauteng,Sandton,2019-10-11
C00449,Ayesha,Khumalo,M,1977-03-06,Eastern Cape,East London,2018-12-17
C00466,Thabo,Mahlangu,F,1995-05-03,Gauteng,Centurion,2018-03-24
C00121,Johan,Kruger,M,1991-03-20,Free State,Bloemfontein,2019-02-26
C00470,Thabo,Fourie,M,1967-08-13,Free State,Bloemfontein,2019-09-24
C00411,Pieter,Sithole,M,1972-09-12,Western Cape,,2026-02-17
C00133,Lerato,Zulu,M,1956-09-21,Eastern Cape,Mthatha,2019-09-27
C00203,Anke,Pretorius,M,1967-01-19,Free State,Welkom,2020-09-12
C00400,Bongani,Naidoo,F,1955-02-11,Northern Cape,Upington,2020-05-29
C00190,Precious,Smit,F,1960-11-03,Gauteng,Pretoria,2026-02-18
C00199,Sipho,Mokoena,M,1964-08-26,KwaZulu-Natal,Pietermaritzburg,2021-09-14
C00248,Mandla,Sithole,F,1971-12-24,Gauteng,Centurion,2020-07-22
C00006,Pieter,Ndlovu,F,1986-07-20,Limpopo,Polokwane,2022-09-06
C00149,Bongani,Khumalo,M,1986-02-03,Free State,Welkom,2020-04-27
C00381,Aisha,Ndlovu,F,1990-04-12,KwaZulu-Natal,Pietermaritzburg,2020-02-18
C00377,Fatima,Le Roux,M,1963-09-18,Gauteng,,2025-04-06
C00435,Zanele,Kruger,F,2003-11-04,Free State,Bloemfontein,2024-07-24
C00205,Zanele,Naidoo,M,1997-07-23,Gauteng,Sandton,2025-03-23
C00388,Fatima,Le Roux,F,1963-01-06,KwaZulu-Natal,Pietermaritzburg,2026-03-28
C00022,Johan,Naidoo,M,1993-07-24,Eastern Cape,East London,2022-01-17
C00330,Johan,Smit,M,1969-06-11,Eastern Cape,East London,2026-05-20
C00128,Mandla,Kruger,M,1988-08-08,Western Cape,Cape Town,2024-10-20
C00050,Mandla,Kruger,F,1959-02-20,Western Cape,Cape Town,2024-10-02
C00356,Susan,Pretorius,M,1961-06-04,Gauteng,Pretoria,2020-08-22
C00366,Sanele,Dlamini,M,1999-03-08,Northern Cape,Kimberley,2023-04-09
C00401,Vusi,Mbeki,M,1974-06-24,Gauteng,Sandton,2021-12-07
C00490,Karen,Kruger,F,1998-10-31,Eastern Cape,Mthatha,2024-09-04
C00252,Bongani,Botha,M,1959-02-27,KwaZulu-Natal,Richards Bay,2022-08-21
C00288,Bongani,Steyn,M,1959-12-29,Eastern Cape,Mthatha,2020-09-26
C00417,Ruth,Steyn,F,1970-12-02,Gauteng,Sandton,2023-09-23
C00399,Emma,Dlamini,M,1969-01-27,Western Cape,Stellenbosch,2023-06-26
C00118,Mandla,Steyn,M,2000-04-26,Gauteng,Pretoria,2025-03-08
C00271,Chris,Nkosi,F,1979-04-18,Western Cape,George,2025-11-08
C00298,Zanele,Le Roux,M,1997-04-11,Gauteng,Johannesburg,2018-12-15
C00001,Thabo,Mahlangu,F,1987-01-28,Free State,Bloemfontein,2021-10-07
C00316,David,Van der Merwe,M,1970-08-08,Free State,Welkom,2018-12-21
C00056,Ruth,Ndlovu,F,1978-08-20,Free State,Welkom,2018-07-23
C00496,Sipho,Le Roux,F,1975-09-19,Gauteng,Soweto,2018-09-01
C00458,Aisha,Mokoena,F,1995-10-11,Limpopo,Polokwane,2026-01-13
C00391,Themba,Dlamini,M,1958-07-08,KwaZulu-Natal,Durban,2021-12-28
C00084,Lerato,Botha,M,1988-03-16,Gauteng,Sandton,2020-07-18
C00305,Bongani,Smit,M,1964-05-17,Eastern Cape,Mthatha,2019-04-17
C00206,Elna,Ndlovu,F,1957-09-21,Western Cape,George,2022-11-07
C00427,Tumi,Ndlovu,F,1980-06-15,Northern Cape,Upington,2021-06-06
C00440,Vusi,Smit,F,1994-12-27,Limpopo,Tzaneen,2022-11-25
C00187,Johan,Naidoo,F,1967-08-14,Eastern Cape,East London,2023-07-28
C00087,Sanele,Van der Merwe,F,1995-06-22,Eastern Cape,East London,2019-02-15
C00047,Michael,Sithole,F,1955-12-16,Limpopo,Polokwane,2024-07-05
C00340,Precious,Fourie,M,1988-06-12,Gauteng,Johannesburg,2021-02-01
C00163,Thabo,Botha,M,1988-07-17,Mpumalanga,Witbank,2020-06-08
C00299,Ruth,Dlamini,F,1956-06-07,KwaZulu-Natal,Durban,2020-11-09
C00497,Johan,Dlamini,F,1963-11-01,Limpopo,Polokwane,2020-10-01
C00426,Lerato,Khumalo,F,1967-07-02,KwaZulu-Natal,Durban,2018-07-20
C00465,Fatima,Khumalo,M,1971-07-27,Gauteng,Pretoria,2023-08-07
C00347,Elna,Sithole,M,1989-04-11,Mpumalanga,Nelspruit,2025-06-05
C00259,Nomvula,Pretorius,M,1976-09-29,Limpopo,Polokwane,2018-01-15
C00138,Elna,Khumalo,M,1994-03-31,gauteng,Pietermaritzburg,2021-10-27
C00375,Susan,Naidoo,F,1984-07-26,Gauteng,Pretoria,2026-01-29
C00461,Naledi,Zulu,M,1982-12-04,Gauteng,Johannesburg,2025-07-18
C00197,Naledi,Kruger,M,1981-10-21,Eastern Cape,East London,2023-07-24
C00181,Nomvula,Mbeki,F,1965-09-27,Gauteng,Pretoria,2025-08-02
C00010,Kabelo,Nkosi,M,2002-07-26,Mpumalanga,Witbank,2023-10-26
C00260,Tumi,Mahlangu,F,1980-03-20,Eastern Cape,Mthatha,2022-07-21
C00033,Pieter,Van der Merwe,F,1975-01-19,Eastern Cape,Gqeberha,2021-06-27
C00409,Sanele,Steyn,F,1991-07-30,Mpumalanga,Witbank,2024-06-07
C00264,Anke,Mokoena,F,1969-08-25,KwaZulu-Natal,Pietermaritzburg,2021-11-08
C00486,Michael,Smit,F,1982-07-02,Western Cape,George,2024-06-22
C00104,Naledi,Mbeki,M,1960-02-28,Gauteng,Pretoria,2022-01-29
C00040,Zanele,Mbeki,M,1959-04-18,Gauteng,Centurion,2020-11-28
C00029,Themba,Naidoo,M,1968-07-20,Gauteng,Centurion,2021-07-04
